firm_name,tech_stack,competitor_mentioned,recent_news,job_postings,website_monthly_visits,linkedin_followers,nps_from_call_notes,last_funding_or_growth_signal
Glassman Injury Lawyers,"Litify, Microsoft Teams, HubSpot",Supio,,Hiring case manager and paralegal,,15463,10,Added new practice area
Law Offices of James Scott Farrin,"Litify, Salesforce, Microsoft 365",Supio,Won Super Lawyers recognition for 5th year,Hiring 1 associate attorney,1970,,10,Added new practice area
Mike Morse Law Firm,"Litify, Microsoft Teams, HubSpot",EvenUp,Won $4.2M verdict in trucking case,Hiring 2 paralegals,7741,23217,,Private equity investment rumored
Earley Law Group,"Filevine, Salesforce, DocuSign",,Won $4.2M verdict in trucking case,No current openings,11751,3908,,Expanded to new office
Freeburg & Granary,"Litify, Zoom, Microsoft 365",Anytime.AI,Won Super Lawyers recognition for 5th year,Expanding: 3 new attorney positions,74843,4889,7,
Hershey Law,"Custom CMS, Microsoft 365, RingCentral",Anytime.AI,Merged with small boutique firm,No current openings,,1544,3,
Laurel Employment Law,"Litify, Salesforce, Microsoft 365",Parrot,Won Super Lawyers recognition for 5th year,No current openings,2417,49676,,
Wood & Peterson,"Clio, Clio Grow, Google Workspace",Parrot,Named Top 100 PI Firm by National Trial Lawyers,,,,10,Launched mass tort practice
Frontier Law Center,"Custom CMS, Microsoft 365, RingCentral",CoCounsel,Named Top 100 PI Firm by National Trial Lawyers,No current openings,16276,,1,Increased headcount 20%+ YoY
Thomas J. Henry Injury Attorneys,"Litify, Zoom, Microsoft 365",CoCounsel,Managing partner spoke at AAJ convention,Hiring intake coordinator,,4266,8,Added new practice area
Munley Law,"Filevine, Twilio, Slack",CoCounsel,Filed amicus brief in state supreme court case,Hiring 1 associate attorney,1515,702,,Acquired smaller firm
DeMayo Law Offices,"Litify, Salesforce, Microsoft 365",Supio,Managing partner quoted in ABA Journal on AI in law,Hiring 1 associate attorney,430737,1883,,Increased headcount 20%+ YoY
Rosenberg Minc Falkoff & Wolff,"Clio, Mailchimp, Google Workspace",Parrot,Sponsored local community legal aid event,Hiring legal assistant,2183,8972,,
Buckfire & Buckfire,"Filevine, Twilio, Slack",EvenUp,Merged with small boutique firm,Hiring intake coordinator,119523,663,1,
TorkLaw,"Filevine, Twilio, Slack",EvenUp,Won Super Lawyers recognition for 5th year,Hiring 2 paralegals,15141,195691,,Expanded to new office
Staver Accident Injury Lawyers,"Litify, Microsoft Teams, HubSpot",,,Hiring 2 paralegals,386277,614,,Acquired smaller firm
Minner Vines Injury Lawyers,"Clio, Google Workspace, Calendly",Supio,Expanded into workers comp practice,No current openings,122982,22089,,Private equity investment rumored
Nace Law Group,"Filevine, Twilio, Slack",Anytime.AI,Won $4.2M verdict in trucking case,Hiring 2 paralegals,2377,2546,,Private equity investment rumored
Carey Leisure Carney,"Clio, Clio Grow, Google Workspace",Parrot,,,,3252,7,
Byrd Davis Alden & Henrichson,"Clio, Clio Grow, Google Workspace",Anytime.AI,Named Best Law Firm by U.S. News,No current openings,37471,617,,Expanded to new office
Weitz & Luxenberg,"Litify, Salesforce, Twilio",EvenUp,Launched new website redesign,Hiring intake coordinator,,,5,Launched mass tort practice
Cellino Law,"Clio, Google Workspace, Calendly",EvenUp,Opened second office in Buffalo,Expanding: 3 new attorney positions,3653,48708,9,Launched mass tort practice
Ben Crump Law,"Filevine, HubSpot, RingCentral",EvenUp,Featured in local business journal Top 50,Hiring intake coordinator,26754,521,,Acquired smaller firm
Davis & Sanchez,"Clio, Slack, Zapier",Parrot,Sponsored local community legal aid event,Expanding: 3 new attorney positions,6652,23258,2,
Gair Gair Conason,"Litify, Salesforce, Twilio",Supio,Hired 3 new associates in Q1,Expanding: 3 new attorney positions,1231,132228,3,
Parker Waichman,"Clio, Zapier, RingCentral",Anytime.AI,Opened second office in Port Washington,,3027,,7,Private equity investment rumored
Rosen Injury Lawyers,"Custom CMS, Microsoft 365, RingCentral",Anytime.AI,Merged with small boutique firm,Hiring office manager,14423,4244,3,
