interaction_id,firm_name,rep_name,channel,subject,event_type,event_date,sequence_step,template_id,asset_sent
INT-1035,Ben Crump Law,Naga Vadrevu,phone,Can Eve help with case evaluation?,bounced,2025-01-23,2,tmpl-breakup-01,
INT-1146,The Dominguez Firm,Naga Vadrevu,phone,Can Eve help with after-hours calls?,bounced,2025-02-13,1,tmpl-pain-point-01,
INT-1101,Nace Law Grou.,Marcus Rivera,linkedin,Nace Law Grou. — worth a quick conversation?,replied,2025-02-02,4,tmpl-cold-intro-01,
INT-1134,Patel Law PC,Naga Vadrevu,email,Re: AI for plaintiff firms,bounced,2025-04-18,2,tmpl-case-study-01,EVE-OP-001
INT-1119,Atlanta Personal Injury Law Group - Gore,Jamie Eggertsen,email,Ideas for Atlanta Personal Injury Law Gr's intake process,sent,2025-01-19,1,tmpl-pain-point-01,
INT-1048,Raphaelson and Levine,Jamie Eggertsen,email,Re: demand drafting for trucking cases,bounced,2025-01-04,1,tmpl-cold-intro-01,
INT-1181,Ironside Litigation Group,Naga Vadrevu,email,Re: demand drafting for PI,sent,2025-04-18,2,tmpl-cold-intro-01,
INT-1124,Rosenfeld Injury Lawyers,Marcus Rivera,linkedin,Following up on Eve,bounced,2025-01-08,1,tmpl-referral-01,
INT-1014,Brown and Crouppen,Marcus Rivera,email,Ideas for Brown and Crouppen's intake process,bounced,2025-01-26,3,tmpl-cold-intro-01,
INT-1061,Anidjar Levine,Sarah Chen,email,Breakup: last note from me,opened,2025-02-26,2,tmpl-cold-intro-02,
INT-1173,Corboy & Demetrio,Jamie Eggertsen,phone,Saw your recent growth,sent,2025-01-10,1,tmpl-pain-point-01,
INT-1032,Rosen Injury Lawyers,Naga Vadrevu,email,Quick question about trucking cases,opened,2025-05-07,4,tmpl-cold-intro-02,EVE-CS-001
INT-1062,Anidjar Levine,Sarah Chen,linkedin,Can Eve help with case evaluation?,bounced,2025-03-07,3,tmpl-pain-point-01,
INT-1156,Florin Roebig,Marcus Rivera,email,3 ways firms like Florin Roebig use AI,clicked,2025-04-12,5,tmpl-breakup-01,
INT-1044,Cellino Law,Sarah Chen,phone,Re: demand drafting for workers comp,bounced,2025-03-13,3,tmpl-referral-01,
INT-1179,Westbrook Caldwell LLP,Jamie Eggertsen,email,Quick question about PI,bounced,2025-04-26,1,tmpl-cold-intro-01,
INT-1175,Corboy & Demetrio,Jamie Eggertsen,email,Quick question about nursing home cases,opened,2025-01-28,3,tmpl-breakup-01,EVE-OP-006
INT-1144,Hershey,Jamie Eggertsen,phone,Can Eve help with after-hours calls?,sent,2025-03-04,3,tmpl-breakup-01,
INT-1064,Anidjar & Levine,Sarah Chen,linkedin,Re: demand drafting for med mal,opened,2025-03-15,5,tmpl-case-study-01,
INT-1063,Anidjar & Levine,Sarah Chen,email,For Anidjar — cutting review time by 75%,replied,2025-03-25,4,tmpl-roi-01,
INT-1093,Rosenberg Minc Falkoff & Wolff,Sarah Chen,email,Rosenberg — one more thing,sent,2025-03-20,1,tmpl-referral-01,
